#;Company;Symbol;Weight
1;Nvidia Corp;NVDA;0.0699
2;Apple Inc.;AAPL;0.0656
3;Microsoft Corp;MSFT;0.0643
4;Amazon.com Inc;AMZN;0.0426
5;Meta Platforms, Inc. Class A;META;0.0264
6;Tesla, Inc.;TSLA;0.0225
7;Alphabet Inc. Class A;GOOGL;0.0225
8;Broadcom Inc.;AVGO;0.0218
9;Alphabet Inc. Class C;GOOG;0.0185
10;Berkshire Hathaway Class B;BRK.B;0.0164
11;Jpmorgan Chase & Co.;JPM;0.0143
12;Eli Lilly & Co.;LLY;0.0115
13;Visa Inc.;V;0.0108
14;Exxon Mobil Corporation;XOM;0.0093
15;Unitedhealth Group Incorporated;UNH;0.0093
16;Mastercard Incorporated;MA;0.0084
17;Costco Wholesale Corp;COST;0.0081
18;Netflix Inc;NFLX;0.0079
19;Home Depot, Inc.;HD;0.0079
20;Walmart Inc.;WMT;0.0078
21;Procter & Gamble Company;PG;0.0075
22;Johnson & Johnson;JNJ;0.0068
23;Salesforce, Inc.;CRM;0.0062
24;Bank of America Corporation;BAC;0.0059
25;Abbvie Inc.;ABBV;0.0058
26;Oracle Corp;ORCL;0.0057
27;Chevron Corporation;CVX;0.0051
28;Wells Fargo & Co.;WFC;0.005
29;Cisco Systems, Inc.;CSCO;0.0048
30;Merck & Co., Inc.;MRK;0.0047
31;Coca-Cola Company;KO;0.0046
32;Servicenow, Inc.;NOW;0.0045
33;Accenture Plc;ACN;0.0044
34;Thermo Fisher Scientific, Inc.;TMO;0.0043
35;Intuitive Surgical Inc.;ISRG;0.0042
36;Linde Plc;LIN;0.0041
37;International Business Machines Corporation;IBM;0.004
38;Abbott Laboratories;ABT;0.004
39;Ge Aerospace;GE;0.004
40;Pepsico, Inc.;PEP;0.0039
41;Mcdonald's Corporation;MCD;0.0039
42;Advanced Micro Devices;AMD;0.0039
43;Goldman Sachs Group Inc.;GS;0.0039
44;The Walt Disney Company;DIS;0.0038
45;Adobe Inc.;ADBE;0.0037
46;Caterpillar Inc.;CAT;0.0037
47;Philip Morris International Inc.;PM;0.0037
48;Qualcomm Inc;QCOM;0.0037
49;Texas Instruments Incorporated;TXN;0.0035
50;American Express Company;AXP;0.0035
51;Intuit Inc;INTU;0.0033
52;Morgan Stanley;MS;0.0033
53;Rtx Corporation;RTX;0.0032
54;Verizon Communications;VZ;0.0032
55;S&p Global Inc.;SPGI;0.0031
